userName,content,score,at,label_num,label,text_Clean,text_Normalization,text_StopWord,text_Tokenization,text_Stemmindo,text_String
Pengguna Google,Mantap membantu banget,5,2025-01-31 08:03:47,1,positive,mantap membantu banget,mantap membantu banget,mantap membantu banget,"['mantap', 'membantu', 'banget']","['mantap', 'bantu', 'banget']",mantap bantu banget
Pengguna Google,SAngat membantu transaksi keuangan,5,2025-01-31 07:59:30,1,positive,sangat membantu transaksi keuangan,sangat membantu transaksi keuangan,membantu transaksi keuangan,"['membantu', 'transaksi', 'keuangan']","['bantu', 'transaksi', 'uang']",bantu transaksi uang
Pengguna Google,Bermanfaat,5,2025-01-31 07:58:29,1,positive,bermanfaat,bermanfaat,bermanfaat,['bermanfaat'],['manfaat'],manfaat
Pengguna Google,Aku kasih bitang 3 aja kadang notif keluar di akhir,3,2025-01-31 07:57:15,0,neutral,aku kasih bitang 3 aja kadang notif keluar di akhir,aku kasih bitang 3 saja kadang notif keluar di akhir,kasih bitang 3 kadang notif,"['kasih', 'bitang', '3', 'kadang', 'notif']","['kasih', 'bitang', '3', 'kadang', 'notif']",kasih bitang kadang notif
Pengguna Google,Sangat nyaman pakai aplikasi Brimo,5,2025-01-31 07:57:09,1,positive,sangat nyaman pakai aplikasi brimo,sangat nyaman pakai aplikasi brimo,nyaman pakai aplikasi brimo,"['nyaman', 'pakai', 'aplikasi', 'brimo']","['nyaman', 'pakai', 'aplikasi', 'brimo']",nyaman pakai aplikasi brimo
Pengguna Google,"Cukup bertransaksi lagi pula keamanannja cukup baik, Semoga lebih baik lagi kedepannya 🙏",5,2025-01-31 07:56:36,1,positive,cukup bertransaksi lagi pula keamanannja cukup baik semoga lebih baik lagi kedepannya,cukup bertransaksi lagi pula keamanannja cukup baik semoga lebih baik lagi kedepannya,bertransaksi keamanannja semoga kedepannya,"['bertransaksi', 'keamanannja', 'semoga', 'kedepannya']","['transaksi', 'keamanannja', 'moga', 'depan']",transaksi keamanannja moga depan
Pengguna Google,"Kenapa jika rekening dormant atau ditutup kok harus datang ke bank terdekat untuk mengaktifkan nya kembali, kenapa GK dibuat bisa mengaktifkan secara online saja biar GK ribet harus datang kebank segala",1,2025-01-31 07:54:10,-1,negative,kenapa jika rekening dormant atau ditutup kok harus datang ke bank terdekat untuk mengaktifkan nya kembali kenapa gk dibuat bisa mengaktifkan secara online saja biar gk ribet harus datang kebank segala,kenapa jika rekening dormant atau ditutup kok harus datang ke bank terdekat untuk mengaktifkan ya kembali kenapa tidak dibuat bisa mengaktifkan secara online saja biar tidak ribet harus datang kebank segala,rekening dormant ditutup bank terdekat mengaktifkan ya mengaktifkan online biar ribet kebank,"['rekening', 'dormant', 'ditutup', 'bank', 'terdekat', 'mengaktifkan', 'ya', 'mengaktifkan', 'online', 'biar', 'ribet', 'kebank']","['rekening', 'dormant', 'tutup', 'bank', 'dekat', 'aktif', 'ya', 'aktif', 'online', 'biar', 'ribet', 'bank']",rekening dormant tutup bank dekat aktif aktif online biar ribet bank
Pengguna Google,Bagus sekali aplikasi sangat membantu dalam transaksi,5,2025-01-31 07:51:07,1,positive,bagus sekali aplikasi sangat membantu dalam transaksi,bagus sekali aplikasi sangat membantu dalam transaksi,bagus aplikasi membantu transaksi,"['bagus', 'aplikasi', 'membantu', 'transaksi']","['bagus', 'aplikasi', 'bantu', 'transaksi']",bagus aplikasi bantu transaksi
Pengguna Google,Alhamdulillah,5,2025-01-31 07:50:53,1,positive,alhamdulillah,alhamdulillah,alhamdulillah,['alhamdulillah'],['alhamdulillah'],alhamdulillah
Pengguna Google,Memudah kan bertransaksi,5,2025-01-31 07:46:31,1,positive,memudah kan bertransaksi,memudah kan bertransaksi,memudah bertransaksi,"['memudah', 'bertransaksi']","['mudah', 'transaksi']",mudah transaksi
Pengguna Google,Sudah 3 hari Saya tidak bisa login ke brimo. Padahal user name dan paswordnya benar. Dengan keterangan. Mohon maaf kami belum bisa memproses transaksi anda. Tolong dipeerbaiki sistemnya.👏,2,2025-01-31 07:46:20,-1,negative,sudah 3 hari saya tidak bisa login ke brimo padahal user name dan paswordnya benar dengan keterangan mohon maaf kami belum bisa memproses transaksi anda tolong dipeerbaiki sistemnya,sudah 3 hari saya tidak bisa login ke brimo padahal user name dan paswordnya benar dengan keterangan mohon maaf kami belum bisa memproses transaksi anda tolong dipeerbaiki sistemnya,3 login brimo user name paswordnya keterangan mohon maaf memproses transaksi tolong dipeerbaiki sistemnya,"['3', 'login', 'brimo', 'user', 'name', 'paswordnya', 'keterangan', 'mohon', 'maaf', 'memproses', 'transaksi', 'tolong', 'dipeerbaiki', 'sistemnya']","['3', 'login', 'brimo', 'user', 'name', 'paswordnya', 'terang', 'mohon', 'maaf', 'proses', 'transaksi', 'tolong', 'dipeerbaiki', 'sistem']",login brimo user name paswordnya terang mohon maaf proses transaksi tolong dipeerbaiki sistem
Pengguna Google,Bagus,5,2025-01-31 07:34:33,1,positive,bagus,bagus,bagus,['bagus'],['bagus'],bagus
Pengguna Google,Mantap,5,2025-01-31 07:28:59,1,positive,mantap,mantap,mantap,['mantap'],['mantap'],mantap
Pengguna Google,Bintang 5 j,5,2025-01-31 07:27:31,1,positive,bintang 5 j,bintang 5 saja,bintang 5,"['bintang', '5']","['bintang', '5']",bintang
Pengguna Google,Cukup Membantu dan lebih mudah bertransaksi,5,2025-01-31 07:25:29,1,positive,cukup membantu dan lebih mudah bertransaksi,cukup membantu dan lebih mudah bertransaksi,membantu mudah bertransaksi,"['membantu', 'mudah', 'bertransaksi']","['bantu', 'mudah', 'transaksi']",bantu mudah transaksi
Pengguna Google,Good,5,2025-01-31 07:24:55,1,positive,good,good,good,['good'],['good'],good
